SampleID,BacterialSpecies,Strain,Gramreaction,CatalaseTest,OxidaseTest,Maltose,IndoleTest,MethylRedTest,VogesProskauerTest,CitrateUtilization,HydrogenSulfideProduction,Structure,Elevation,CellSize,cellShape,Motility,Flagella,SporeFormation,Capsule,UreaseProduction,GlucoseFermentation,NitrateReduction,LactoseFermentation,SucroseFermentation,LysineDecarboxylase,SorbitolFermentation,Media,V29,V30,V31,V32,V33,V34,CellLength,CellWidth
1,Pseudomonas species,Pseudomonas aeruginosa,2,2,2,1,1,1,1,2,1,2,3,1.5mm * 0.5mm,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1.5,0.5
1,Pseudomonas species,Pseudomonas putida,2,2,2,3,1,1,1,2,1,1,1,0.5mm*1.0mm,2,2,2,1,1,1,2,1,1,2,3,1,2,3,1,1,1,1,1,0.5,0.4
2,Vibrio species,Vibrio cholerae,2,2,2,2,2,1,2,3,1,2,1,1.5mm*0.2mm,2,2,2,1,1,1,2,1,1,2,2,2,3,4,1,2,1,1,3,1.5,0.4
1,Vibrio species,Vibrio alginolyticus,2,2,2,2,1,1,2,2,1,1,1,0.2mm* 0.8mm,3,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,2,0.2,0.4
1,Vibrio species,Vibrio parahaemolyticus,2,2,2,2,1,2,1,1,1,1,1,0.3mm * 1.2mm,3,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,0.3,0.4
3,Escherichia species,Escherichia coli,2,2,1,2,2,2,1,1,1,1,1,3mm * 0.6mm,4,2,2,1,2,1,2,2,2,1,2,2,4,5,1,1,1,1,1,1,0.4
1,Escherichia species,Escherichia fergusonii,2,2,1,2,2,2,1,1,1,1,1,0.8mm * 1.5 mm,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.8,0.4
1,Escherichia species,Escherichia vulneris,2,2,1,2,1,2,1,1,1,2,1,0.5mm*1.4 mm,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0.5,0.4
8,Campylobacter species,Campylobacter jejuni,2,2,2,1,1,1,1,1,1,1,1,0.5mm*1.4 mm,4,2,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0.2,0.4
9,Clostridium Species,Clostridium botulinum,2,1,1,1,1,1,1,1,2,2,3,5mm *1.0 mm,4,2,2,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,5,1
1,Clostridium Species,Clostridium difficile,2,1,1,1,1,1,1,1,2,1,1,0.5mm*1.4 mm,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.4
1,Clostridium Species,Clostridium tetani,3,1,1,1,3,1,1,1,2,2,3,0.5mm*1.4 mm,4,2,2,2,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,4,0.5
4,Citrobacter species,Citrobacter freundii,1,2,1,2,3,2,1,1,2,2,1,3mm * 0.6mm,4,1,2,1,1,3,2,2,2,2,1,2,4,6,2,3,1,2,1,1,0.4
1,Citrobacter species,Citrobacter amalonaticus,1,2,1,2,2,2,1,2,1,2,2,3mm * 0.6mm,4,1,2,1,1,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1.2,0.4
1,Citrobacter species,Citrobacter baraakii,1,2,1,2,1,2,1,2,2,2,1,0.8mm*1.3mm,4,1,2,1,1,3,1,2,2,1,1,2,1,1,1,1,1,1,1,0.8,0.4
